State,Pop. Density (per km²),Rainfall (mm) (Dec 2024),Sanitation (%),Health Access (%) (HAQ),Urbanization (%),Avg. Temp. (°C) (Dec 2024)
Maharashtra,365,5-10,75.90,60.6,45.2,23.5
Karnataka,319,20-40,70.20,60.4,38.7,22.8
Uttar Pradesh,828,0-5,35.00,39.2,22.3,8.5
West Bengal,1029,10-20,47.60,53.5,31.9,21.2
Tamil Nadu,555,100-150,73.80,60.3,48.4,26.5
